,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All Accounts Gain/Loss Detail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Previous Year Realized Gain/Loss for All Accounts as of 06/04/26 06:42:01 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Account Number,Name,Symbol,CUSIP,Quantity,Date Acquired,Holding Period,Date Sold,Unit Cost($),Wash Sale Cost Adj($),Total Cost($),Adjusted Cost($),Proceeds($),Realized Gain/Loss($),Realized Gain/Loss(%),Wash Sale Disallowed($),Covered Indicator,Wash Sale Indicator
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,3223.481,2019-01-16 00:00:00,Long,2025-10-01 00:00:00,10.69,0,34459.01,34459.01,35135.94,676.93,1.96444993631564,0,C,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,33.474,2018-10-02 00:00:00,Long,2025-07-25 00:00:00,11.35986,0,380.26,380.26,352.48,-27.78,-7.305527796770631,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,1.158,2019-03-25 00:00:00,Long,2025-07-25 00:00:00,11.01036,0,12.75,12.75,12.2,-0.55,-4.313725490196078,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,21.494,2021-01-20 00:00:00,Long,2025-07-25 00:00:00,11.7698,0,252.98,252.98,226.33,-26.65,-10.5344295991778,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,17.481,2022-03-24 00:00:00,Long,2025-07-25 00:00:00,12.67033,0,221.49,221.49,184.08,-37.41,-16.890153054313963,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,23.821,2022-05-12 00:00:00,Long,2025-07-25 00:00:00,13.34999,0,318.01,318.01,250.84,-67.17,-21.12197729631144,0,,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,180.699,2019-03-11 00:00:00,Long,2025-06-09 00:00:00,10.95999,0,1980.46,1980.46,1886.5,-93.96,-4.744352322187774,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,2.706,2019-03-25 00:00:00,Long,2025-06-09 00:00:00,11.00887,0,29.79,29.79,28.25,-1.54,-5.169519973145351,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,600.899,2022-05-12 00:00:00,Long,2025-06-09 00:00:00,13.35,0,8022,8022,6273.39,-1748.61,-21.797681376215408,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,46.635,2019-12-05 00:00:00,Long,2025-10-01 00:00:00,10.81998,0,504.59,504.59,508.32,3.73,0.7392140153391863,0,C,
Portfolio Management - 0827,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,150.551,2019-12-05 00:00:00,Long,2025-10-01 00:00:00,10.81999,0,1628.96,1628.96,1641.01,12.05,0.7397357823396523,0,C,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,0.079,2018-12-06 00:00:00,Long,2025-07-25 00:00:00,10.75949,0,0.85,0.85,0.83,-0.02,-2.3529411764705883,0,,
Portfolio Management IRA - 7852,ABBEY CPTL FUTURES STRATEGY I,ABYIX,74925K367,0.687,2019-12-05 00:00:00,Long,2025-07-25 00:00:00,10.81514,0,7.43,7.43,7.23,-0.2,-2.691790040376851,0,,
